diseasename,country,district,region/city lat,region/city lon,year,total cases,total deaths,Avg. NVDI Val,PRECTOTLAND kg m-2 s-1,temperature in (K)
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,42.58333,20.91667,1999,1.0,0.0,5483.560606060606,2.216155347885736e-05,283.4799474080404
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,42.58333,20.91667,2000,5.0,0.0,5142.300505050504,1.6720717182616696e-05,283.72461954752606
Crimean-Congo Hemorrhagic Fever,Serbia,Kosovski okrug,42.58333,20.91667,2001,97.0,0.0,5514.966540404041,2.257172661411665e-05,283.1139729817708
Crimean-Congo Hemorrhagic Fever,Serbia,Prizrenski okrug,42.21389,20.73972,2004,4.0,0.0,5315.024509803921,3.8792541732372385e-05,282.3665097554525
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,28.47849,65.64355,1995,2.0,0.0,998.0919563058591,4.854272331167667e-06,295.408457170453
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,28.47849,65.64355,2000,0.0,2.0,901.2405991393581,1.1324717505472531e-06,296.37777649728883
Crimean-Congo Hemorrhagic Fever,Pakistan,Kalat,28.47849,65.64355,2004,4.0,7.0,946.7971036080768,1.7944620991578708e-06,296.64033066598995
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,30.184140000000006,67.00140999999999,1998,3.0,1.0,803.2065248226952,2.1474282277052968e-06,294.865588011565
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,30.184140000000006,67.00140999999999,2001,4.0,2.0,724.8708156028367,5.393829708133229e-07,295.3671766210485
Crimean-Congo Hemorrhagic Fever,Pakistan,Quetta,30.184140000000006,67.00140999999999,2014,0.0,2.0,795.6805673758865,1.6138258748309346e-06,294.1658012955278
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,24.85223043,67.04427518,2000,0.0,7.0,1209.1705729166667,3.1500232448128964e-07,298.7456487019857
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,24.85223043,67.04427518,2005,40.0,1.0,1311.2799479166667,3.0357184543426293e-06,298.62810770670575
Crimean-Congo Hemorrhagic Fever,Pakistan,Karachi,24.85223043,67.04427518,2014,4.0,2.0,1413.35546875,8.418449087769382e-07,298.76393636067706
Crimean-Congo Hemorrhagic Fever,Pakistan,Faisalabad,31.413,73.178,2001,2.0,0.0,3723.6342455621293,9.722681237965962e-06,300.9116668701172
Crimean-Congo Hemorrhagic Fever,Pakistan,Dera Ghazi Khan,30.0,70.0,2004,0.0,3.0,2353.629541864139,5.078996832799728e-06,301.3733522819751
Crimean-Congo Hemorrhagic Fever,Pakistan,Hazara,34.04661038,73.14131153,2013,0.0,2.0,3166.525895925381,2.0547166397920526e-05,282.8368437025282
Crimean-Congo Hemorrhagic Fever,Pakistan,Peshawar,34.008,71.57849,2014,13.0,11.0,3681.063818565401,2.1046683736420253e-05,296.31683603922534
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,33.59733,73.0479,2002,0.0,1.0,2704.626474056604,1.2965777054635125e-05,299.17793613009985
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,33.59733,73.0479,2003,0.0,2.0,3261.480935534591,2.0498224383179828e-05,297.71999571058484
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,33.59733,73.0479,2004,1.0,1.0,3061.6801297169814,1.1261982916378626e-05,299.1036584642198
Crimean-Congo Hemorrhagic Fever,Pakistan,Rawalpindi,33.59733,73.0479,2014,50.0,0.0,3365.5431407232704,2.415064333426197e-05,297.05875184800885
Crimean-Congo Hemorrhagic Fever,Pakistan,Zhob,31.36444,69.20749,2014,77.0,4.0,1330.1263378089122,3.3435596354678564e-06,290.8078462812636
