country,diseasename,year,total cases,total deaths,Num of cattle,Population
Serbia,Crimean-Congo Hemorrhagic Fever,1999,1.0,0.0,,7540401.0
Serbia,Crimean-Congo Hemorrhagic Fever,2000,4.0,0.0,,7516346.0
Serbia,Crimean-Congo Hemorrhagic Fever,1995,119.0,16.0,,7625357.0
Serbia,Crimean-Congo Hemorrhagic Fever,1996,23.0,5.0,,7617794.0
Serbia,Crimean-Congo Hemorrhagic Fever,1997,8.0,0.0,,7596501.0
Serbia,Crimean-Congo Hemorrhagic Fever,1998,1.0,0.0,,7567745.0
Serbia,Crimean-Congo Hemorrhagic Fever,2001,97.0,0.0,,7503433.0
Serbia,Crimean-Congo Hemorrhagic Fever,2004,4.0,0.0,,7463157.0
Pakistan,Crimean-Congo Hemorrhagic Fever,1995,2.0,0.0,17848000.0,123776835.0
Pakistan,Crimean-Congo Hemorrhagic Fever,1998,7.0,1.0,21192000.0,134843233.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2000,115.0,34.0,22004000.0,142343583.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2018,2.0,7.0,46084000.0,212228288.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2001,41.0,4.0,22424000.0,145978408.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2002,0.0,4.0,22858000.0,149549695.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2014,52.0,6.0,39743000.0,195305012.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2015,38.0,24.0,41241000.0,199426953.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2004,5.0,15.0,23757000.0,156664698.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2005,41.0,1.0,24218000.0,160304007.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2019,6.0,20.0,,216565317.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2006,7.0,1.0,29558812.0,164022626.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2012,61.0,17.0,36908000.0,187280125.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2013,16.0,6.0,38299000.0,191260799.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2016,150.0,32.0,42800000.0,203631356.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2017,14.0,7.0,44400000.0,207906210.0
Pakistan,Crimean-Congo Hemorrhagic Fever,2003,0.0,2.0,23303000.0,153093371.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2000,25.0,15.0,2900000.0,20779957.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2001,35.0,0.0,2249000.0,21606992.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2013,0.0,4.0,5235000.0,32269592.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2014,3.0,0.0,5349000.0,33370804.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2015,13.0,1.0,5261000.0,34413603.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2016,71.0,12.0,5234400.0,35383028.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2017,237.0,41.0,4977000.0,36296111.0
Afghanistan,Crimean-Congo Hemorrhagic Fever,2018,267.0,34.0,5022606.0,37171922.0
